,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,10days_june,increased Rainfall
3838,SOUTH INTERIOR KARNATAKA,1967,5.7,0.0,4.7,25.7,77.8,136.3,350.4,157.3,57.8,96.2,12.3,16.0,940.3,5.7,108.3,701.8,124.6,0,45.43333333333334,58.500000000000014
3839,SOUTH INTERIOR KARNATAKA,1968,0.0,8.0,8.5,47.5,71.8,120.6,284.1,124.7,209.7,99.3,23.4,3.4,1001.0,8.0,127.8,739.2,126.0,0,40.199999999999996,48.8
3840,SOUTH INTERIOR KARNATAKA,1969,0.0,0.0,2.3,37.8,101.9,100.8,289.5,216.3,104.0,174.8,51.4,27.7,1106.5,0.0,142.0,710.6,253.9,0,33.6,1.1000000000000085
3841,SOUTH INTERIOR KARNATAKA,1970,1.4,5.4,4.3,49.5,129.6,99.5,210.1,206.4,129.0,217.6,20.9,0.2,1073.8,6.7,183.4,645.0,238.7,0,33.166666666666664,30.099999999999994
3842,SOUTH INTERIOR KARNATAKA,1971,2.0,5.3,2.7,37.9,100.5,204.5,174.9,180.7,161.7,122.3,17.4,10.3,1020.2,7.3,141.1,721.7,150.0,0,68.16666666666667,104.0
3843,SOUTH INTERIOR KARNATAKA,1972,0.0,1.1,0.1,26.9,190.5,153.6,214.6,97.6,176.2,135.7,26.3,41.5,1064.0,1.1,217.5,642.0,203.5,0,51.199999999999996,36.900000000000006
3844,SOUTH INTERIOR KARNATAKA,1973,0.0,0.0,0.2,21.8,102.4,214.9,232.7,220.8,118.0,140.5,26.5,8.7,1086.6,0.0,124.4,786.5,175.7,0,71.63333333333334,112.5
3845,SOUTH INTERIOR KARNATAKA,1974,0.1,0.0,4.3,34.5,113.2,71.0,281.8,166.7,235.0,138.2,6.6,0.0,1051.5,0.1,152.0,754.5,144.9,0,23.666666666666668,42.2
3846,SOUTH INTERIOR KARNATAKA,1975,4.1,3.2,15.5,21.0,93.0,224.8,260.6,252.8,224.0,157.7,76.3,1.3,1334.3,7.3,129.4,962.2,235.3,0,74.93333333333334,131.8
3847,SOUTH INTERIOR KARNATAKA,1976,0.0,0.1,2.6,66.9,25.9,64.0,203.7,148.3,87.2,54.4,106.5,1.7,761.2,0.1,95.3,503.1,162.6,0,21.333333333333332,38.1
3848,SOUTH INTERIOR KARNATAKA,1977,0.0,1.3,13.8,51.2,136.8,168.5,227.7,134.5,166.5,224.6,82.8,0.1,1207.8,1.3,201.8,697.1,307.4,0,56.166666666666664,31.69999999999999
3849,SOUTH INTERIOR KARNATAKA,1978,0.5,7.0,2.6,40.1,104.5,188.1,281.8,231.2,156.8,107.1,81.0,30.8,1231.6,7.5,147.3,857.9,219.0,0,62.699999999999996,83.6
3850,SOUTH INTERIOR KARNATAKA,1979,0.3,29.2,4.1,31.3,49.0,192.8,189.3,207.9,219.6,81.9,113.9,1.4,1120.8,29.5,84.4,809.6,197.2,0,64.26666666666667,143.8
3851,SOUTH INTERIOR KARNATAKA,1980,0.0,0.0,7.2,79.1,99.0,228.0,287.7,179.6,161.8,99.6,81.1,1.9,1225.0,0.0,185.2,857.1,182.7,0,76.0,129.0
3852,SOUTH INTERIOR KARNATAKA,1981,1.8,0.1,19.6,25.5,94.9,136.3,189.4,299.8,254.6,123.2,32.8,6.5,1184.6,1.9,140.0,880.2,162.5,0,45.43333333333334,41.400000000000006
3853,SOUTH INTERIOR KARNATAKA,1982,0.1,0.0,2.0,18.3,99.2,151.1,217.0,240.8,126.9,97.1,50.8,0.2,1003.5,0.1,119.5,735.8,148.1,0,50.36666666666667,51.89999999999999
3854,SOUTH INTERIOR KARNATAKA,1983,0.0,0.0,0.9,5.1,77.0,215.3,206.6,262.5,185.9,97.8,21.1,38.9,1111.2,0.0,83.0,870.3,157.8,0,71.76666666666667,138.3
3855,SOUTH INTERIOR KARNATAKA,1984,2.1,7.9,75.4,39.0,44.7,196.2,256.8,122.3,167.1,142.3,5.7,4.4,1063.9,10.0,159.1,742.4,152.4,0,65.39999999999999,151.5
3856,SOUTH INTERIOR KARNATAKA,1985,4.1,0.1,13.8,42.1,52.8,193.3,138.7,172.3,139.7,67.4,29.3,5.8,859.3,4.2,108.6,644.0,102.5,0,64.43333333333334,140.5
3857,SOUTH INTERIOR KARNATAKA,1986,13.9,9.2,3.9,26.2,51.7,210.0,149.9,208.2,175.3,79.4,94.1,8.4,1030.2,23.1,81.8,743.4,181.8,0,70.0,158.3
